"AX","M","El","Z","E","J","Thalf","DThalf","Thalf_Seconds","Lambda_perSecond"
"3H",3,"H",1,0,"1/2+","12.32 Y",2,388789632,2.57208504984001e-09
"6HE",6,"HE",2,0,"0+","806.7 MS",15,0.8067,1.23961819759514
"7BE",7,"BE",4,0,"3/2-","53.22 D",6,4598208,2.17476025442955e-07
"8HE",8,"HE",2,0,"0+","119.1 MS",12,0.1191,8.39630562552477
"8LI",8,"LI",3,0,"2+","839.9 MS",9,0.8399,1.19061793070604
"8LI",8,"LI",3,0,"2+","839.9 MS",6,0.8399,1.19061793070604
"8B",8,"B",5,0,"2+","770 MS",3,0.77,1.2987012987013
"9LI",9,"LI",3,0,"3/2-","178.3 MS",4,0.1783,5.60852495793606
"9C",9,"C",6,0,"3/2-","126.5 MS",10,0.1265,7.90513833992095
"10BE",10,"BE",4,0,"0+","1.51E+6 Y",4,4.7651976e+13,2.09854886185622e-14
"10BE",10,"BE",4,0,"0+","1.51E6 Y",6,4.7651976e+13,2.09854886185622e-14
"10BE",10,"BE",4,0,"0+","1.51E6 Y",4,4.7651976e+13,2.09854886185622e-14
"10C",10,"C",6,0,"0+","19.290 S",12,19.29,0.0518403317781234
"11LI",11,"LI",3,0,"3/2-","8.75 MS",14,0.00875,114.285714285714
"11BE",11,"BE",4,0,"1/2+","13.76 S",7,13.76,0.0726744186046512
"11C",11,"C",6,0,"3/2-","20.364 M",14,1221.84,0.000818437765992274
"12BE",12,"BE",4,0,"0+","21.46 MS",5,0.02146,46.5983224603914
"12BE",12,"BE",4,0,"0+","21.50 MS",4,0.0215,46.5116279069767
"12B",12,"B",5,0,"1+","20.20 MS",2,0.0202,49.5049504950495
"12N",12,"N",7,0,"1+","11.000 MS",16,0.011,90.9090909090909
"13B",13,"B",5,0,"3/2-","17.33 MS",17,0.01733,57.7034045008656
"13N",13,"N",7,0,"1/2-","9.965 M",4,597.9,0.00167252048837598
"13O",13,"O",8,0,"3/2-","8.58 MS",5,0.00858,116.550116550117
"14B",14,"B",5,0,"2-","12.5 MS",5,0.0125,80
"14B",14,"B",5,0,"2-","13.8 MS",1,0.0138,72.463768115942
"14C",14,"C",6,0,"0+","5700 Y",30,179878320000,5.55931365158403e-12
"14C",14,"C",6,0,"0+","5730 Y",40,180825048000,5.53020729738725e-12
"14O",14,"O",8,0,"0+","70.606 S",18,70.606,0.0141631022859247
"15C",15,"C",6,0,"1/2+","2.449 S",5,2.449,0.408329930583912
"15O",15,"O",8,0,"1/2-","122.24 S",16,122.24,0.00818062827225131
"16C",16,"C",6,0,"0+","0.747 S",8,0.747,1.33868808567604
"16N",16,"N",7,0,"2-","7.13 S",2,7.13,0.140252454417952
"17B",17,"B",5,0,"3/2-","5.08 MS",5,0.00508,196.850393700787
"17C",17,"C",6,0,"3/2+","193 MS",6,0.193,5.18134715025907
"17N",17,"N",7,0,"1/2-","4.173 S",4,4.173,0.239635753654445
"17F",17,"F",9,0,"5/2+","64.49 S",16,64.49,0.0155062800434176
"17NE",17,"NE",10,0,"1/2-","109.2 MS",6,0.1092,9.15750915750916
"17NE",17,"NE",10,0,"1/2-","109.3 MS",6,0.1093,9.14913083257091
"18C",18,"C",6,0,"0+","92 MS",2,0.092,10.8695652173913
"18C",18,"C",6,0,"0+","92 MS",2,0.092,10.8695652173913
"18N",18,"N",7,0,"1-","619 MS",2,0.619,1.61550888529887
"18N",18,"N",7,0,"1-","624 MS",12,0.624,1.6025641025641
"18N",18,"N",7,0,"1-","620 MS",14,0.62,1.61290322580645
"18F",18,"F",9,0,"1+","109.77 M",5,6586.2,0.000151832619720021
"18NE",18,"NE",10,0,"0+","1672 MS",8,1.672,0.598086124401914
"19B",19,"B",5,0,"3/2-","2.92 MS",13,0.00292,342.465753424658
"19C",19,"C",6,0,"1/2+","46.3 MS",40,0.0463,21.5982721382289
"19N",19,"N",7,0,"1/2-","336 MS",3,0.336,2.97619047619048
"19O",19,"O",8,0,"5/2+","26.88 S",5,26.88,0.037202380952381
"19NE",19,"NE",10,0,"1/2+","17.22 S",2,17.22,0.0580720092915215
"20C",20,"C",6,0,"0+","16.3 MS",NA,0.0163,61.3496932515337
"20N",20,"N",7,0,"2-","134.4 MS",37,0.1344,7.44047619047619
"20O",20,"O",8,0,"0+","13.51 S",5,13.51,0.074019245003701
"20F",20,"F",9,0,"2+","11.07 S",6,11.07,0.0903342366757001
"20MG",20,"MG",12,0,"0+","90.4 MS",7,0.0904,11.0619469026549
"21N",21,"N",7,0,"1/2-","84 MS",7,0.084,11.9047619047619
"21O",21,"O",8,0,"5/2+","3.42 S",10,3.42,0.292397660818713
"21F",21,"F",9,0,"5/2+","4.158 S",20,4.158,0.24050024050024
