"AX","M","El","Z","E","DE","J","Thalf","DThalf"
"54FE",54,"FE","26",2949,NA,"6+",NA,NA
"101SN",101,"SN","50",0,NA,"(5/2+)",NA,NA
"102SN",102,"SN","50",0,NA,"0+",NA,NA
"103SN",103,"SN","50",0,NA,"(5/2+)",NA,NA
"103SN",103,"SN","50",168,NA,"(7/2+)",NA,NA
"104SN",104,"SN","50",0,NA,"0+",NA,NA
"105SN",105,"SN","50",10288,3,"(43/2-)",NA,NA
"105TE",105,"TE","52",0,NA,"(5/2+)","0.62 US",7
"105TE",105,"TE","52",150,13,"(7/2+)",NA,NA
"106SN",106,"SN","50",0,NA,"0+",NA,NA
"106SB",106,"SB","51",0,NA,NA,NA,NA
"106TE",106,"TE","52",0,NA,"0+",NA,NA
"107SB",107,"SB","51",0,NA,NA,NA,NA
"107TE",107,"TE","52",721,4,"(9/2+)",NA,NA
"107TE",107,"TE","52",721,4,"(9/2+)",NA,NA
"108SB",108,"SB","51",0,NA,NA,"7.0 S",5
"108TE",108,"TE","52",0,NA,"0+",NA,NA
"109SB",109,"SB","51",0,NA,"5/2+","17.2 S",5
"109TE",109,"TE","52",0,NA,"(5/2+)","4.4 S",2
"110I",110,"I","53",0,NA,"(1+)","0.664 S",24
"110XE",110,"XE","54",0,NA,"0+","93 MS",3
"140CE",140,"CE","58",0,NA,"0+",NA,NA
"141PR",141,"PR","59",0,NA,"5/2+",NA,NA
"142ND",142,"ND","60",0,NA,"0+",NA,NA
"143ND",143,"ND","60",0,NA,"7/2-",NA,NA
"143PM",143,"PM","61",0,NA,"5/2+",NA,NA
"144ND",144,"ND","60",0,NA,"0+",NA,NA
"144PM",144,"PM","61",0,NA,"5-",NA,NA
"144SM",144,"SM","62",0,NA,"0+","STABLE",NA
"145EU",145,"EU","63",0,NA,"5/2+",NA,NA
"145EU",145,"EU","63",329.5,NA,"7/2+",NA,NA
"145EU",145,"EU","63",0,NA,"5/2+",NA,NA
"146SM",146,"SM","62",0,NA,"0+",NA,NA
"146EU",146,"EU","63",NA,NA,NA,NA,NA
"146GD",146,"GD","64",0,NA,"0+","48.27 D",9
"147SM",147,"SM","62",0,NA,"7/2-","1.060E11 Y",11
"147EU",147,"EU","63",0,NA,"5/2+",NA,NA
"147EU",147,"EU","63",229.3,NA,"7/2+",NA,NA
"147EU",147,"EU","63",0,NA,"5/2+","24.1 D",6
"147EU",147,"EU","63",229.3,NA,"7/2+",NA,NA
"147GD",147,"GD","64",0,NA,"7/2-","38.1 H",1
"147GD",147,"GD","64",0,NA,"7/2-",NA,NA
"147TB",147,"TB","65",50.6,9,"11/2-",NA,NA
"147TB",147,"TB","65",354.1,NA,"5/2+",NA,NA
"147TB",147,"TB","65",0,NA,"(1/2+)","1.64 H",3
"147TB",147,"TB","65",50.6,9,"(11/2-)","1.83 M",6
"147TB",147,"TB","65",253.4,NA,"(3/2+)","1.3 NS",NA
"147TB",147,"TB","65",354.1,NA,"(5/2+)","2 NS",NA
"147TB",147,"TB","65",0,NA,"(1/2+)","1.64 H",3
"147TB",147,"TB","65",50.6,9,"(11/2-)","1.83 M",6
"147TB",147,"TB","65",253.4,NA,"(3/2+)","1.3 NS",NA
"147TB",147,"TB","65",354.1,NA,"(5/2+)","2 NS",NA
"147TB",147,"TB","65",0,NA,"1/2+",NA,NA
"147TB",147,"TB","65",354.1,NA,"5/2+",NA,NA
"148SM",148,"SM","62",0,NA,"0+",NA,NA
"148GD",148,"GD","64",0,NA,"0+",NA,NA
"148TB",148,"TB","65",0,NA,"2-",NA,NA
"148TB",148,"TB","65",110,NA,"4-",NA,NA
"148TB",148,"TB","65",178,NA,"2+",NA,NA
"148TB",148,"TB","65",195,NA,"3-",NA,NA
"148TB",148,"TB","65",281,NA,"3+",NA,NA
"148TB",148,"TB","65",90.1,3,"(9)+","2.20 M",5
"148TB",148,"TB","65",328,NA,"7+",NA,NA
"148TB",148,"TB","65",406,NA,"8+",NA,NA
"148DY",148,"DY","66",0,NA,"0+",NA,NA
"149GD",149,"GD","64",0,NA,"7/2-",NA,NA
"149GD",149,"GD","64",164.5,NA,"5/2-",NA,NA
"149TB",149,"TB","65",36,3,"11/2-",NA,NA
"149TB",149,"TB","65",0,NA,"1/2+",NA,NA
"149DY",149,"DY","66",2938.1,6,"(1/2+,3/2+)",NA,NA
"149DY",149,"DY","66",0,NA,"(7/2-)",NA,NA
"149HO",149,"HO","67",0,NA,"(11/2-)",NA,NA
"149HO",149,"HO","67",220.4,NA,"(3/2+)",NA,NA
"149HO",149,"HO","67",564.4,NA,"(5/2+)",NA,NA
"149HO",149,"HO","67",49,NA,"(1/2+)",NA,NA
"149HO",149,"HO","67",220.4,NA,"(3/2+)",NA,NA
"149HO",149,"HO","67",564.4,NA,"(5/2+)",NA,NA
"150GD",150,"GD","64",0,NA,"0+",NA,NA
"150TB",150,"TB","65",0,NA,"(2)-","3.48 H",16
"150TB",150,"TB","65",474,51,"(9+)","5.8 M",2
"150DY",150,"DY","66",0,NA,"0+",NA,NA
"150HO",150,"HO","67",0,NA,"(2)-","72 S",4
"150HO",150,"HO","67",130,1,"(1+)",NA,NA
"150HO",150,"HO","67",NA,NA,"(9)+","23.5 S",3
"150HO",150,"HO","67",NA,1,NA,NA,NA
"150ER",150,"ER","68",0,NA,"0+",NA,NA
"151DY",151,"DY","66",0,NA,"7/2(-)",NA,NA
"151HO",151,"HO","67",0,NA,"(11/2-)",NA,NA
"151HO",151,"HO","67",41,2,"(1/2+)",NA,NA
"151ER",151,"ER","68",0,NA,"(7/2-)",NA,NA
"151TM",151,"TM","69",0,NA,"(11/2-)",NA,NA
"151TM",151,"TM","69",NA,NA,"(1/2+)",NA,NA
"151TM",151,"TM","69",0,NA,"(11/2-)",NA,NA
"152DY",152,"DY","66",0,NA,"0+",NA,NA
"152HO",152,"HO","67",0,NA,"2-",NA,NA
"152ER",152,"ER","68",0,NA,"0+",NA,NA
"152TM",152,"TM","69",NA,NA,NA,NA,NA
"152TM",152,"TM","69",NA,NA,NA,NA,NA
"152YB",152,"YB","70",0,NA,"0+",NA,NA
"152YB",152,"YB","70",0,NA,"0+",NA,NA
"153ER",153,"ER","68",0,NA,NA,NA,NA
"153TM",153,"TM","69",0,NA,"(11/2-)",NA,NA
"153YB",153,"YB","70",0,NA,"7/2-",NA,NA
"153LU",153,"LU","71",80,5,"1/2+",NA,NA
"153LU",153,"LU","71",0,NA,"11/2-",NA,NA
"153LU",153,"LU","71",0,NA,NA,NA,NA
"154ER",154,"ER","68",0,NA,"0+",NA,NA
"154TM",154,"TM","69",0,NA,NA,NA,NA
"154YB",154,"YB","70",0,NA,"0+",NA,NA
"154LU",154,"LU","71",0,NA,"(2-)",NA,NA
"154LU",154,"LU","71",59,9,"(9+)",NA,NA
"154HF",154,"HF","72",0,NA,"0+",NA,NA
"154HF",154,"HF","72",0,NA,"0+",NA,NA
"155TM",155,"TM","69",NA,NA,NA,NA,NA
"155YB",155,"YB","70",0,NA,"(7/2-)","1.739 S",19
"155LU",155,"LU","71",20,6,"1/2+",NA,NA
"155LU",155,"LU","71",0,NA,"11/2-",NA,NA
"155HF",155,"HF","72",0,NA,NA,"0.89 S",12
"155TA",155,"TA","73",NA,NA,"11/2-","2.9 MS",NA
"156YB",156,"YB","70",0,NA,"0+",NA,NA
"156LU",156,"LU","71",0,NA,"(2)-",NA,NA
"156LU",156,"LU","71",NA,NA,"9+",NA,NA
"156HF",156,"HF","72",0,NA,"0+",NA,NA
"156TA",156,"TA","73",0,NA,"(2-)",NA,NA
"157YB",157,"YB","70",NA,NA,NA,NA,NA
"157LU",157,"LU","71",0,NA,"(1/2+,3/2+)","6.8 S",18
"157LU",157,"LU","71",26,7,"(11/2-)","4.79 S",12
"157HF",157,"HF","72",NA,NA,NA,NA,NA
"157TA",157,"TA","73",22,5,"11/2-","4.3 MS",1
"157W",157,"W","74",0,NA,"(7/2-)","275 MS",40
"157W",157,"W","74",318,33,"(9/2-)",NA,NA
"158YB",158,"YB","70",0,NA,"0+",NA,NA
"158YB",158,"YB","70",358.2,1,"(2+)",NA,NA
"158LU",158,"LU","71",0,NA,NA,NA,NA
"158HF",158,"HF","72",0,NA,"0+",NA,NA
"158TA",158,"TA","73",0,NA,"(2-)","55 MS",15
"158TA",158,"TA","73",141,9,"(9+)","36.7 MS",15
"158TA",158,"TA","73",207,9,"(10+)",NA,NA
"158W",158,"W","74",0,NA,"0+",NA,NA
"159LU",159,"LU","71",0,NA,NA,NA,NA
"159HF",159,"HF","72",0,NA,"7/2-",NA,NA
"159TA",159,"TA","73",0,NA,"1/2+",NA,NA
"159TA",159,"TA","73",64,5,"11/2-",NA,NA
"159W",159,"W","74",0,NA,NA,NA,NA
"160HF",160,"HF","72",0,NA,"0+",NA,NA
"160TA",160,"TA","73",0,NA,NA,NA,NA
"160W",160,"W","74",0,NA,"0+",NA,NA
"161HF",161,"HF","72",0,NA,"(7/2-)",NA,NA
"161TA",161,"TA","73",NA,NA,"(11/2-)",NA,NA
"161W",161,"W","74",NA,NA,NA,NA,NA
"161RE",161,"RE","75",123.8,13,"11/2-","15.6 MS",9
"162HF",162,"HF","72",0,NA,"0+","39.4 S",9
"162TA",162,"TA","73",NA,NA,NA,NA,NA
"162W",162,"W","74",0,NA,"0+","1.36 S",7
"162RE",162,"RE","75",0,NA,"(2-)","107 MS",13
"162RE",162,"RE","75",173,13,"(9+)","77 MS",9
"162OS",162,"OS","76",0,NA,"0+","1.7 MS",5
"163HF",163,"HF","72",0,NA,"(5/2-)",NA,NA
"163TA",163,"TA","73",NA,NA,"(9/2-)",NA,NA
"163TA",163,"TA","73",0,NA,NA,NA,NA
"163W",163,"W","74",0,NA,"7/2-",NA,NA
"163RE",163,"RE","75",0,NA,"1/2+",NA,NA
"163RE",163,"RE","75",115,4,"11/2-",NA,NA
"163OS",163,"OS","76",0,NA,"(7/2-)",NA,NA
"164HF",164,"HF","72",0,NA,"0+",NA,NA
"164TA",164,"TA","73",111.8,NA,NA,NA,NA
"164W",164,"W","74",0,NA,"0+",NA,NA
"164RE",164,"RE","75",0,NA,NA,"0.70 S",16
"164RE",164,"RE","75",NA,NA,NA,"0.86 S",NA
"164RE",164,"RE","75",NA,NA,NA,NA,NA
"164OS",164,"OS","76",0,NA,"0+",NA,NA
"165TA",165,"TA","73",60,30,NA,NA,NA
"165TA",165,"TA","73",230,30,NA,NA,NA
"165TA",165,"TA","73",0,NA,NA,NA,NA
"165W",165,"W","74",0,NA,"(5/2-)",NA,NA
"165W",165,"W","74",43,NA,"(3/2-)",NA,NA
"165W",165,"W","74",72,NA,"(7/2-)",NA,NA
"165RE",165,"RE","75",0,NA,"(1/2+)",NA,NA
"165RE",165,"RE","75",48,26,"(11/2-)",NA,NA
