"Key","M","El","Z","E","DE","J","Thalf","DThalf"
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"54FE",54,"FE",0,2949,NA,"6+                ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"101SN",101,"SN",0,0,NA,"(5/2+)            ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"102SN",102,"SN",0,0,NA," 0+               ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"103SN",103,"SN",0,0,NA," (5/2+)           ","          ",NA
"103SN",103,"SN",0,168,NA," (7/2+)           ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"104SN",104,"SN",0,0,NA,"0+                ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"105SN",105,"SN",0,10288,3,"(43/2-)           ","          ",NA
"105TE",105,"TE",0,0,NA,"(5/2+)            ","0.62 US   ",7
"105TE",105,"TE",0,150,13,"(7/2+)            ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"106SN",106,"SN",0,0,NA," 0+               ","          ",NA
"106SB",106,"SB",0,0,NA,"                  ","          ",NA
"106TE",106,"TE",0,0,NA,"0+                ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"107SB",107,"SB",0,0,NA,"                  ","          ",NA
"107TE",107,"TE",0,721,4,"  (9/2+)          ","          ",NA
"107TE",107,"TE",0,721,4,"  (9/2+)          ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"108SB",108,"SB",0,0,NA,"                  ","7.0 S     ",5
"108TE",108,"TE",0,0,NA," 0+               ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"109SB",109,"SB",0,0,NA," 5/2+             ","17.2 S    ",5
"109TE",109,"TE",0,0,NA," (5/2+)           ","4.4 S     ",2
"0",0,NA,0,0,0,"0","0",0
"110I",110,"I",0,0,NA,"(1+)              ","0.664 S   ",24
"110XE",110,"XE",0,0,NA,"  0+              ","  93 MS   ",3
"0",0,NA,0,0,0,"0","0",0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
