"AX","M","El","Z","E","DE","J","Thalf","DThalf"
"1H",1,"H","1",0,NA,"1/2+",NA,NA
"3HE",3,"HE","2",0,NA,"1/2+","STABLE",NA
"6LI",6,"LI","3",0,NA,"1+",NA,NA
"8LI",8,"LI","3",980,1,"1+","8.2 FS",23
"8LI",8,"LI","3",3080,NA,"1+","1 MEV",NA
"8LI",8,"LI","3",5150,NA,"1+","650 KEV",NA
"8LI",8,"LI","3",9670,NA,"1+","1 MEV",NA
"8BE",8,"BE","4",3030,10,"2+","1513 KEV",15
"9BE",9,"BE","4",0,NA,"3/2-","STABLE",NA
"9BE",9,"BE","4",2429.4,13,"5/2-","0.78 KEV",13
"9BE",9,"BE","4",2780,12,"1/2-","1.10 MEV",12
"9BE",9,"BE","4",7940,80,"(5/2-)","1 MEV",NA
"9BE",9,"BE","4",11282,22,"(7/2-)","575 KEV",50
"9BE",9,"BE","4",11810,20,"5/2-","400 KEV",30
"10B",10,"B","5",0,NA,"3+","STABLE",NA
"11BE",11,"BE","4",320.04,10,"1/2-","115 FS",10
"11BE",11,"BE","4",2654,10,"3/2-",NA,NA
"11BE",11,"BE","4",3400,6,"(3/2-)","122 KEV",8
"11BE",11,"BE","4",3889,1,"5/2-","8 KEV",NA
"11BE",11,"BE","4",3955,1,"3/2-","10 KEV",5
"11BE",11,"BE","4",5255,3,"5/2-","45 KEV",10
"11BE",11,"BE","4",7030,50,"(5/2-)","0.30 MEV",10
"11BE",11,"BE","4",8020,20,"3/2-","230 KEV",55
"11BE",11,"BE","4",8813,25,"3/2-","0.20 MEV",5
"11BE",11,"BE","4",10590,50,"5/2-","210 KEV",40
"11BE",11,"BE","4",16300,1,NA,"0.7 MEV",1
"11BE",11,"BE","4",18190,14,NA,"1.5 MEV",4
"11B",11,"B","5",0,NA,"3/2-",NA,NA
"11B",11,"B","5",2124.693,27,"1/2-",NA,NA
"11B",11,"B","5",4444.89,50,"5/2-",NA,NA
"11B",11,"B","5",5020.31,30,"3/2-",NA,NA
"11B",11,"B","5",6791.8,30,"1/2+",NA,NA
"11B",11,"B","5",7285.51,43,"5/2+",NA,NA
"11B",11,"B","5",7977.84,42,"3/2+",NA,NA
"11B",11,"B","5",9876,8,"3/2+",NA,NA
"12B",12,"B","5",0,NA,"1+","20.20 MS",2
"12C",12,"C","6",0,NA,"0+",NA,NA
"12C",12,"C","6",4438.91,31,"2+",NA,NA
"12C",12,"C","6",7654.3,21,"0+",NA,NA
