"AX","M","El","Z","E","DE","J","Thalf","DThalf"
"7LI",7,"LI","3",0,NA,"3/2-",NA,NA
"7LI",7,"LI","3",477.612,3,"1/2-","72.8 FS",20
"8BE",8,"BE","4",3030,10,"2+","1513 KEV",15
"8BE",8,"BE","4",16626,3,"2+",NA,NA
"9B",9,"B","5",0,NA,"3/2-","0.54 KEV",21
"9B",9,"B","5",2345,11,"5/2-","81 KEV",5
"9B",9,"B","5",2780,16,"1/2-","3.13 MEV",20
"9B",9,"B","5",12160,40,"5/2-","455 KEV",20
"9B",9,"B","5",14010,70,NA,"0.39 MEV",11
"9B",9,"B","5",14655,25,"3/2-","377 EV",38
"10B",10,"B","5",718.38,11,"1+",NA,NA
"10B",10,"B","5",1740.05,4,"0+",NA,NA
"11B",11,"B","5",0,NA,"3/2-",NA,NA
"12C",12,"C","6",0,NA,"0+",NA,NA
"12C",12,"C","6",4438.91,31,"2+",NA,NA
"12C",12,"C","6",7654.2,15,"0+",NA,NA
"12C",12,"C","6",10300,3,"(0+)",NA,NA
"12C",12,"C","6",12710,6,NA,NA,NA
"12C",12,"C","6",15110,3,NA,NA,NA
"13C",13,"C","6",0,NA,"1/2-","STABLE",NA
"13N",13,"N","7",0,NA,"1/2-",NA,NA
"13N",13,"N","7",3502,2,"3/2-",NA,NA
"13N",13,"N","7",7376,9,"5/2-",NA,NA
"13N",13,"N","7",8918,11,"1/2-",NA,NA
"13N",13,"N","7",9476,8,"3/2-",NA,NA
"13N",13,"N","7",10360,NA,"5/2-",NA,NA
"14N",14,"N","7",0,NA,"1+",NA,NA
"14N",14,"N","7",2312.798,11,"0+",NA,NA
"14N",14,"N","7",3948.1,20,"1+",NA,NA
"15N",15,"N","7",0,NA,"1/2-",NA,NA
"17O",17,"O","8",0,NA,"5/2+",NA,NA
"17O",17,"O","8",870.73,10,"1/2+",NA,NA
"17F",17,"F","9",0,NA,"5/2+",NA,NA
"17F",17,"F","9",495.33,10,"1/2+",NA,NA
"17F",17,"F","9",3104,3,"1/2-",NA,NA
"17F",17,"F","9",4640,20,"3/2-",NA,NA
"17F",17,"F","9",5488,11,"3/2-",NA,NA
"17F",17,"F","9",6037,9,"1/2-",NA,NA
"17F",17,"F","9",8075,10,"(1/2,3/2)-",NA,NA
"17F",17,"F","9",8200,NA,"3/2(-)",NA,NA
"17F",17,"F","9",8436,10,"(1/2,3/2)-",NA,NA
"17F",17,"F","9",9450,50,NA,NA,NA
"17F",17,"F","9",10030,60,NA,NA,NA
"17F",17,"F","9",10660,20,NA,NA,NA
"17F",17,"F","9",10910,10,"1/2-",NA,NA
"17F",17,"F","9",11192.9,23,"1/2-",NA,NA
"17F",17,"F","9",12250,40,"3/2-",NA,NA
"18O",18,"O","8",0,NA,"0+","STABLE",NA
