"Key","M","El","Z","E","DE","J","Thalf","DThalf"
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"0",0,NA,0,0,0,0,0,0
"7LI",7,"LI",0,0,NA," 3/2-             ","          ",NA
"7LI",7,"LI",0,477.612,3," 1/2-             ","72.8 FS   ",20
"0",0,NA,0,0,0,"0","0",0
"8BE",8,"BE",0,3030,10,"2+                ","1513 KEV  ",15
"8BE",8,"BE",0,16626,3,"2+                ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"9B",9,"B",0,0,NA,"3/2-              ","0.54 KEV  ",21
"9B",9,"B",0,2345,11,"5/2-              ","81 KEV    ",5
"9B",9,"B",0,2780,16,"1/2-              ","3.13 MEV  ",20
"9B",9,"B",0,12160,40,"5/2-              ","455 KEV   ",20
"9B",9,"B",0,14010,70,"                  ","0.39 MEV  ",11
"9B",9,"B",0,14655,25," 3/2-             ","377 EV    ",38
"0",0,NA,0,0,0,"0","0",0
"10B",10,"B",0,718.38,11,"1+                ","          ",NA
"10B",10,"B",0,1740.05,4,"0+                ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"11B",11,"B",0,0,NA,"3/2-              ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"12C",12,"C",0,0,NA,"0+                ","          ",NA
"12C",12,"C",0,4438.91,31,"2+                ","          ",NA
"12C",12,"C",0,7654.2,15,"0+                ","          ",NA
"12C",12,"C",0,10300,3,"(0+)              ","          ",NA
"12C",12,"C",0,12710,6,"                  ","          ",NA
"12C",12,"C",0,15110,3,"                  ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"13C",13,"C",0,0,NA," 1/2-             ","STABLE    ",NA
"13N",13,"N",0,0,NA," 1/2-             ","          ",NA
"13N",13,"N",0,3502,2," 3/2-             ","          ",NA
"13N",13,"N",0,7376,9," 5/2-             ","          ",NA
"13N",13,"N",0,8918,11," 1/2-             ","          ",NA
"13N",13,"N",0,9476,8," 3/2-             ","          ",NA
"13N",13,"N",0,10360,NA," 5/2-             ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"14N",14,"N",0,0,NA," 1+               ","          ",NA
"14N",14,"N",0,2312.798,11," 0+               ","          ",NA
"14N",14,"N",0,3948.1,20," 1+               ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"15N",15,"N",0,0,NA," 1/2-             ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"0",0,NA,0,0,0,0,0,0
"17O",17,"O",0,0,NA," 5/2+             ","          ",NA
"17O",17,"O",0,870.73,10," 1/2+             ","          ",NA
"17F",17,"F",0,0,NA," 5/2+             ","          ",NA
"17F",17,"F",0,495.33,10," 1/2+             ","          ",NA
"17F",17,"F",0,3104,3," 1/2-             ","          ",NA
"17F",17,"F",0,4640,20," 3/2-             ","          ",NA
"17F",17,"F",0,5488,11," 3/2-             ","          ",NA
"17F",17,"F",0,6037,9," 1/2-             ","          ",NA
"17F",17,"F",0,8075,10,"(1/2,3/2)-        ","          ",NA
"17F",17,"F",0,8200,NA," 3/2(-)           ","          ",NA
"17F",17,"F",0,8436,10,"(1/2,3/2)-        ","          ",NA
"17F",17,"F",0,9450,50,"                  ","          ",NA
"17F",17,"F",0,10030,60,"                  ","          ",NA
"17F",17,"F",0,10660,20,"                  ","          ",NA
"17F",17,"F",0,10910,10," 1/2-             ","          ",NA
"17F",17,"F",0,11192.9,23," 1/2-             ","          ",NA
"17F",17,"F",0,12250,40," 3/2-             ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"18O",18,"O",0,0,NA," 0+               ","STABLE    ",NA
"18F",18,"F",0,0,NA," 1+               ","109.77 M  ",5
"18F",18,"F",0,1041.55,8," 0+               ","          ",NA
"18F",18,"F",0,1080.54,12," 0-               ","          ",NA
"18F",18,"F",0,1700.81,18," 1+               ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"19F",19,"F",0,0,NA," 1/2+             ","          ",NA
"19F",19,"F",0,109.894,5," 1/2-             ","          ",NA
"19F",19,"F",0,1554.038,9," 3/2+             ","          ",NA
"0",0,NA,0,0,0,"0","0",0
"20NE",20,"NE",0,1633.674,15," 2+               ","          ",NA
"20NE",20,"NE",0,7421.9,12," 2+               ","          ",NA
"20NE",20,"NE",0,7829,24," 2+               ","          ",NA
"20NE",20,"NE",0,8800,NA," 2+               ","          ",NA
"20NE",20,"NE",0,9487,5," 2+               ","          ",NA
"20NE",20,"NE",0,9873,4," 3+               ","          ",NA
"20NE",20,"NE",0,10274,3," 2+               ","          ",NA
"20NE",20,"NE",0,10584,5," 2+               ","          ",NA
"20NE",20,"NE",0,10843,4," 2+               ","          ",NA
"20NE",20,"NE",0,10884,3," 3+               ","          ",NA
"20NE",20,"NE",0,11262.3,19," 1+               ","          ",NA
"20NE",20,"NE",0,11320,9," 2+               ","          ",NA
"20NE",20,"NE",0,11885,7," 2+               ","          ",NA
"20NE",20,"NE",0,1633.674,15," 2+               ","          ",NA
"20NE",20,"NE",0,4966.51,20," 2-               ","          ",NA
"20NE",20,"NE",0,6706,47,"                  ","          ",NA
"20NE",20,"NE",0,7421.9,12," 2+               ","          ",NA
"20NE",20,"NE",0,7833.4,15," 2+               ","          ",NA
"20NE",20,"NE",0,8058,8," 2+               ","          ",NA
"20NE",20,"NE",0,9196,30," 2+               ","          ",NA
"20NE",20,"NE",0,9483,3," 2+               ","          ",NA
"20NE",20,"NE",0,9873,4," 3+               ","          ",NA
"20NE",20,"NE",0,10274,3," 2+               ","          ",NA
"20NE",20,"NE",0,10578,4," 2+               ","          ",NA
"20NE",20,"NE",0,10840,4," 2+               ","          ",NA
"20NE",20,"NE",0,10884,3," 3+               ","          ",NA
"20NE",20,"NE",0,10941,9," 2+               ","          ",NA
"20NE",20,"NE",0,11116,9," 2+               ","          ",NA
"20NE",20,"NE",0,11262.3,19," 1+               ","          ",NA
"20NE",20,"NE",0,11295,5," 2+               ","          ",NA
"20NE",20,"NE",0,11856,8," 2+               ","          ",NA
"20NA",20,"NA",0,984.25,10," 1+               ","          ",NA
